FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value
ENSMUSG00000064370,mt-Cytb,4.626495664,-0.60989349,0.46430421,7.074741659,0.60989349,0.46430421
ENSMUSG00000070493,Chchd2,4.625550434,-1.464083519,0.04221296,12.78867469,1.464083519,0.04221296
ENSMUSG00000022018,Rgcc,4.536563782,3.887339329,0.011559217,0.304840644,-3.887339329,0.011559217
ENSMUSG00000061315,Naca,4.524680891,0.335314661,0.979734669,3.592242146,-0.335314661,0.979734669
ENSMUSG00000021876,Rnase4,4.52035984,2.117990099,0.171697075,1.041335639,-2.117990099,0.171697075
ENSMUSG00000052684,Jun,4.396399679,0.227820881,1,3.760514181,-0.227820881,1
ENSMUSG00000030342,Cd9,4.390053135,-0.644731806,0.432743515,6.877204922,0.644731806,0.432743515
ENSMUSG00000039105,Atp6v1g1,4.366017287,-0.209556791,0.859200377,5.057915961,0.209556791,0.859200377
ENSMUSG00000008035,Mid1ip1,4.339955946,1.267371921,0.508484448,1.804656611,-1.267371921,0.508484448
ENSMUSG00000064357,mt-Atp6,4.332124041,-0.114044968,0.960226991,4.696984638,0.114044968,0.960226991
ENSMUSG00000016319,Slc25a5,4.285942804,-2.019679988,0.002168764,17.41737502,2.019679988,0.002168764
ENSMUSG00000060032,H2afj,4.266768139,1.718174017,0.290964915,1.29740178,-1.718174017,0.290964915
ENSMUSG00000079659,Tmem243,4.19965681,2.31450234,0.12940968,0.843798902,-2.31450234,0.12940968
ENSMUSG00000070473,Cldn3,4.169004352,-1.667460347,0.01717961,13.27154227,1.667460347,0.01717961
ENSMUSG00000090509,Sfta2,4.157931658,3.346571843,0.027641164,0.4072671,-3.346571843,0.027641164
ENSMUSG00000041841,Rpl37,4.06908004,0.825083853,0.554942004,2.299717816,-0.825083853,0.554942004
ENSMUSG00000027523,Gnas,4.05395636,-1.056284657,0.164732815,8.447743919,1.056284657,0.164732815
ENSMUSG00000036438,Calm2,3.991706214,-1.34683849,0.066875647,10.17436132,1.34683849,0.066875647
ENSMUSG00000028618,Tmem59,3.989275623,-0.568182173,0.498718442,5.926102114,0.568182173,0.498718442
ENSMUSG00000071415,Rpl23,3.960243559,0.134311837,1,3.614190672,-0.134311837,1
ENSMUSG00000064354,mt-Co2,3.938503269,0.31194515,1,3.17765887,-0.31194515,1
ENSMUSG00000038274,Fau,3.93472235,0.305038333,1,3.189852496,-0.305038333,1
ENSMUSG00000041247,Lamp3,3.92810574,3.634491914,0.017299476,0.314595544,-3.634491914,0.017299476
ENSMUSG00000026701,Prdx6,3.858293754,-1.351647287,0.065910377,9.867081956,1.351647287,0.065910377
ENSMUSG00000060636,Rpl35a,3.856403294,0.267243186,1,3.209362297,-0.267243186,1
ENSMUSG00000074227,Spint2,3.841819746,-1.378701006,0.059085557,10.01096674,1.378701006,0.059085557
ENSMUSG00000063457,Rps15,3.769577168,0.272125298,1,3.126445642,-0.272125298,1
ENSMUSG00000026874,Hc,3.748647076,3.646883837,0.017152013,0.297524468,-3.646883837,0.017152013
ENSMUSG00000062006,Rpl34,3.674514039,0.44034497,0.880181589,2.711862367,-0.44034497,0.880181589
ENSMUSG00000037805,Rpl10a,3.651018322,0.462540395,0.859154913,2.653332963,-0.462540395,0.859154913
ENSMUSG00000029580,Actb,3.623606653,-0.213595881,0.855549598,4.209239609,0.213595881,0.855549598
ENSMUSG00000060126,Tpt1,3.601461264,0.219864532,1,3.09718094,-0.219864532,1
ENSMUSG00000025290,Rps24,3.594844655,0.590850661,0.742528543,2.389950647,-0.590850661,0.742528543
ENSMUSG00000018567,Gabarap,3.506128069,-0.445198702,0.614623423,4.782340019,0.445198702,0.614623423
ENSMUSG00000056973,Ces1d,3.498431196,-2.071786453,0.001535531,14.73965481,2.071786453,0.001535531
ENSMUSG00000074884,Serf2,3.449144204,-0.597490637,0.47261802,5.228626721,0.597490637,0.47261802
ENSMUSG00000047843,Bri3,3.444823153,-1.089043215,0.150028482,7.343001426,1.089043215,0.150028482
ENSMUSG00000026385,Dbi,3.438341576,0.706522685,0.912322068,2.109497255,-0.706522685,0.912322068
ENSMUSG00000028937,Acot7,3.416466254,2.285613263,0.135657764,0.699914118,-2.285613263,0.135657764
ENSMUSG00000001175,Calm1,3.354756239,-3.763897924,3.65E-13,45.67732206,3.763897924,3.64E-13
ENSMUSG00000042750,Bex2,3.325994241,3.383397608,0.026869479,0.317034269,-3.383397608,0.026869479
ENSMUSG00000064373,Sepp1,3.319107565,3.391462633,0.026086888,0.314595544,-3.391462633,0.026086888
ENSMUSG00000032383,Ppib,3.318027303,0.01997038,1,3.277646601,-0.01997038,1
ENSMUSG00000018293,Pfn1,3.285214319,-0.992220432,0.195853563,6.547977027,0.992220432,0.195853563
ENSMUSG00000001289,Pfdn5,3.284539155,-0.367802266,0.693070768,4.245820486,0.367802266,0.693070768
ENSMUSG00000024048,Myl12a,3.273466461,-0.694270616,0.392276886,5.306665926,0.694270616,0.392276886
ENSMUSG00000008683,Rps15a,3.262258734,0.691939766,0.924003564,2.021703149,-0.691939766,0.924003564
ENSMUSG00000044217,Aqp5,3.138973737,3.41446815,0.025370941,0.292647018,-3.41446815,0.025370941
